Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
||Carta pastoral del Ilmo. Señor Arzobispo de México con motivo de la coronación de nuestra Madre Santisíma de Guadalupe|México||1895|66|5.5x8 pulg|Historia de Morelos||||Imp. Del Sagrado Corazón de Jesús|Carta, pastoral, obispo, colocación, coronación, virgen, guadalupe, consagración, celestial, santísima, cardenal, santo, edicto, iglesia, santa, catedral, diócesi, apostólica, curas, vicarios, eclesiásticos |Carta pastoral del Ilmo. Señor Arzobispo de México con motivo de la coronación de nuestra Madre Santisíma de Guadalupe|
||Informe del C. Coronel Elpidio Perdomo Gobernador constitucional del Estado de Morelos|Cuernavaca||1941||6.5x8.5 pulg|Historia de Morelos|||||Hacienda, agricultura, cultivo, reforestación, ganadería, aguas, potable, economía, industrialización, caminos, obras, educación, asistencia, seguridad, poder, gobernación|Informe del C. Coronel Elpidio Perdomo Gobernador constitucional del Estado de Morelos|
||Estudios historico-economico-fiscales sobre los Estados de la Republica II Morelos|México||1939|117|6x9 pulg|Historia de Morelos||||Talleres de impresión de estampillas y valores de la Sria. De Hda.|Ubicación, climatoligía, agricultura, industria, mineria, comercio, hacienda, etimología, historia, división, superficie, ganadería, turismo, credito, carreteras|Publicación monográfica del Estado de Morelos |
||Codigo de procedimientos civiles del Estado de Morelos|Cuernavaca||1890|354|5.5x8 pulg|Historia de Morelos||||Imprenta del Gobierno del Estado|Decreto, legislatura, litigantes, judiciales, resoluciones, notificaciones, terminos, desepacho, tribunales, impedimentos, recusaciones, excusas, juicio, confesión, pericial, pruebas, sentencia, revocación, apelación, remates, demanda|Codigo de procedimientos civiles del Estado de Morelos|
||Corona Fúnebre dedicada a la memoria del señor general de división Carlos Pacheco por el Gobernador constitucional del Estado de Morelos General Jesús H. Preciado|Cuernavaca|L.G. Miranda|1891|137|6x8 pulg|Historia de Morelos||||Imprenta del Gobierno de Morelos|Memoria, general, funebre, combate, discurso, carta|Memoria al General de división D.Carlos Pacheco|
||Hotel casino de la selva |Cuernavaca||1975|80|4.5x6.5 pulg|Historia de Morelos|Volumen XXVI||||Hotel, casino, selva, Cuernavaca, museos, galerias, ciencia, arte, artesanías, historia|Cuernavaca florido vergel de perenne primavera, ha sido y seguirá siendo a pesar de los vaivenes del turismo, el paraíso veraniego de los diez millones de habitantes de la gran metrópoli mexicana.|
||Constitucion politica del Estado Libre y Soberano de Morelos de 20 de noviembre de 1930.|Cuernavaca|René Sánchez Beltrán|1930|60|8.5x11 pulg|Historia de Morelos|||||Erección, congreso, Constitución, soberanía, Independencia, garantías, poderes, leyes, hacienda, tribunal, municipios, funcionarios, reformas|Es en la ciudad de Yautepec, en donde se instala la I Legislatura Constitucional erigida en constituyente; la que aprueba la primera Constitución Política, que se promulga el 20 de julio, publicándose el 28 de julio de 1870.|
||Anuario 1949-1950|Cuernavaca|Instituto de la educación superior del Estado de Morelos|1948|30|6.5x9 pulg|Historia de Morelos||||Agustín Pardo|Reseña, organización, personalidad, consejo, estructura, reglamentos, responsabilidades, sanciones, planes, materias, carrera, asignaturas, profesorado, calendario, examenes|El Estado de Morelos, por ser uno de los más jovenes en la confederación, surge a la vida de la cultura superior en el año de 1872 con la fundación del Instituto Científico y Literario del Estado fundado por el entonces Gobernador Gral. Francisco Leyva y teniendo como primer director al Sr. Lic. Dn. Refugio de la Vega.|
||Gobierno del Estado Libre y Soberano de Morelos |Jojutla de Juarez||1933|56|6x8.5 pulg|Historia de Morelos|||||Régimen, municipio, sindico, regidor, ayuntamiento, informe, libertad|Se imprimió este folleto para que llegue a las manos del campesino; para que exiga y reclame como ciudadano, como lector, como soberano el cumplimiento exacto, leal y honrado de todas las promesas.|
||Directorio Nacional de la Republica Mexicana Primera Sección Estado de Morelos|México|Expedición Nacional Mexico- Argentina||76|15x11.5 pulg|Historia de Morelos||||A. Mijares y Hno.|Gran Hotel La Selva, Breve historia del Estado de Morelos, Catedral de Cuernavaca, guia turistica del Estado de Morelos, piramide de teopanzolco, jardín borda,  piramide de teopanzolco, directorio general, industrial, comercial y profesionista de la Ciudad de Cuernavaca, ayuntamiento de Cuautla, agua hedionda, ayuntamiento de Yautepec, ayuntamiento de Jojutla|La Expedición Nacional México-Argentina, (para fomento de intercambio latino-americano), deseosa de servir al público de la Nación y hacer de la misma una perfecta y organizada propaganda, tiene el honor de dedicar el primer número del Directorio Nacional de la Republica Mexicana, al bello y progresista Estado de Morelos, haciendo patente demostración de agradecimiento por la cooperación de todas las Fuerzas vivas del Estado, en la construcción de la presente obra. |
||Constitucion Federal de los Estados-Unidos Mexicanos Sancionada y jurada por el Congreso Federal Constituyente el día 5 de febrero de 1857 y colección de las constituciones de los Estados que forman la confederación. |Toluca|Pedro Martinez|1870|657|5.5x8 pulg|Historia de Morelos|||||Manifiesto, Idem del Estado de Aguascalientes, Campeche, Coahuila de Zaragoza, Durango, Guanajuato, Hidalgo, Estado de México, Michoacan, Oaxaca, Puebla, Querétaro, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tlaxcala, Tamaulipas, Veracruz, Yucatán, Zacatecas, Leyes, ereccion, constitucional, Constitución del Estado de Chiapas, Chihuahua, Colima, Guerrero, Jalisco, Morelos, Nuevo León.|La gran promesa del Plan de Ayutla está cumplida. Los Estados-Unidos Mexicanos vuelven al órden constitucional. El Congreso ha sancionado la Constitución mas democrática que ha tenido la República, ha proclamado los derechos del hombre, ha trabajado por la libertad, ha sido fiel al espíritu de su época, a las inspiraciones radiantes del cristianismo, á la Revolución política y social á que debió su origen, ha edificado sobre el dogma de la soberanía del pueblo, y no para  arrebatarsela, sino para dejar al pueblo el ejercicio pleno de su soberanía.|
||Adelante Cultura No.217|Jojutla||1960|4||Historia de Morelos|||||Raul Iragorri, Jojutla, Puente de Ixtla, notas, balneario, hotel, cine, club, deportivo, peluqueria|Por primera vez en Jojutla, se desarrolloun acto político tan democrático en el que el sector popular, manifesto su organización y fuerza. |
||Adelante Cultura No.220|Jojutla||1960|4||Historia de Morelos|||||Zacatepec, orquesta, cine, hotel, tequesquitengo, acta, constitutiva, club, deportivo, jojutla|Digo en esta ocasión, honor a quien honor merece, voy que voy a hablar de un conjunto musical que ha puesto todo su empreño en poner en alto el nombre de Jojutla y el estado: De la orquesta mas popular y bullanguera de esta ciudad ¡LA CONTINENTAL! |
||El Avance de Morelos|Cuernavaca||1966|4||Historia de Morelos|||||Cuernavaca, campesinos, comerciantes, federación, estado, ingenio, Emiliano Zapata, Cuautla, lienzo charro, ayuntamiento, Ixtla, Jojutla|"A insistente propuesta del Gobernador del Estado, licenciado Emilio Riva Palacio la Secretaría de Obras Públicas, previa aprobación presidencial procederá a la urgente construcción de la terminal camionera en terrenos aledaños al Centro Comercial ""Adolfo López Mateos"""|
||El Estado  |Cuernavaca||1966|4||Historia de Morelos|||||Presidente, monopolio, periodistas, Gobernador, Estado, arroz, industria, pesquera, derecho, expresión, Zacatepec, editorial|"A principios del mes de agosto corrio el rumor de forma por demás insistente, de que el Ingenio ""Emiliano Zapata"" de Zacatepec, seria totalmente desmantelado por instrucciones del C. Presidente de la República, siendo trasladado a otro Estado.  "|
||El grano de arena No. 2|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, educación, tepozteco, ferrocarril, monumento, conmemorativo|La educación católica, por el contrario, nutre con alimentos sanos: forma imitadores fieles de las virtudes de verdaderos grandes hombres, poniendo en sus manos, libros en donde se refleja la pureza de las doctrinas del Evangelio.|
||El grano de arena No. 5|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, música, fé, pensamientos, religiosos, anticatólicos, |"Fé: única herencia que nos hace las penas de la vida llevaderas ""Dichosa confianza, con razón exclama Nicolas Augusto, dichosa fé que es fundamento de la razón del hombre, sin la cual nunca saldría de las tinieblas naturales de la ignorancia"""|
