Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
Gómez Medina Josefina||Recetas selectas de cocina y reposteria|Guadalajara Jal.||1939|195|6x8 pulg||||Cocina||Cocktails, entremeses, consome, sopas caldosas, sopas, carnes, huevos, pescados, aves, verduras, salsas, ensaladas, antojos y platillos nacionales, salchichoneria, conservación de frutas y legumbres, dulces, reposteria, coberturas y rellenos para pasteles, sandwichs, helados, vinos y refrescos|Para poner una mesa en una comida formal o banquete                                                     Se pone sobre la mesa un molletón o franela gruesa que cubra toda la superficie de ella. Encima se pone un mantel con adornos de filigrana, malla o bordado al gusto y que el color de él haga contraste con el color de la vajilla que vaya a usarse.
González Palomar Benito||Recetas practicas para la señora de la casa sobre cocina, reposteria, pasteles, neveria, etc.|Guadalajara||1895|431|6.5x4.5 pulg||Cuarta|I|Cocina|J.A. Rodríguez|Recetas, cocina, reposteria, pasteles, neveria, sopas, aves, helados, pescados, panecitos, verduras|Recopiladas por algunas socias de la conferencia de la Santisima Trinidad, para el sostenimiento de su hospital
Gutierrez Barrientos María de los Angeles||La cocina Xalapeña|Veracruz|José Joaquín César Arzani|1983|72|6.5x8.5 pulg||||Cocina|Impresora Formal, S.A.|Sopas, guisos, antojitos, postres|Cultura gastromomica xalapeña, su cocina es comparable en su calidad y variedad, dentro del estado, con la tlacotalpeña y con las mejores de la República.
Gutiérrez Maria Antonia||El Ama de Casa|México|Librería de la Vda de CH. Bouret|1895|416|4.5x6.5 pulg||||Cocina|De la Vda de CH. Bouret|Hogar, ama, casa, cocina, salud, vida, social, hogar, economia, trinchar, servir, aseo, belleza, caldos, sopas, carne, legumbres, pastas, huevos, tortilla, pescado, entremeses, salsa, conservación, alimentos, salud, higiene, medicina|Guia de la mujer bien educada en materia de habitación y ocupaciones domésticas, gastos, cocina, moda, costumbres y uso de la sociedad, higiene, tocador, arte de la conversación, distracciones y deberes diversos. 
Hernandez F. de Rodriguez Concepción||Cocina y reposteria práctica|Merida Yucatán|Nueva Edición||189|5.5x8 pulg||17a Edición|II|Cocina|"Impresiones ""GALES"" S.A."|Tabla de pesas y medidas, sopas, carnes, croquetas y albóndigas, recados regionales, salsas y ensaladas, pescados y mariscos, guisos de arroz, huevos, aves, cacería, legumbres, tamales, sandwiches y entremeses, sección de guisos diarios de fácil ejecución para las nuevas amas de casa, panes cakes, galletas, roscas de postre, pasteles y pies americanos, dulces diversos, gelatinas|Cocina y reposteria práctica
Hernandez F. de Rodriguez Concepción||Cocina y reposteria práctica|Merida Yucatán|Nueva Edición||189|5.5x8 pulg||17a Edición|I|Cocina|"Impresiones ""GALES"" S.A."|El servicio de la mesa.Tabla de pesas y medidas, sopas, carnes, recados regionales, salsas, ensaladas, pescados y mariscos, guisos de arroz, huevos, aves, cacería, legumbres, tamales, sandwiches y entremeses, embutidos, refrescos, ponches, licores, cocktails, helados y jarabes, queso y mantequilla, panes de levadura, panes y cakes, galletas y pasteles, dulces de almibar, flanes y budines, pastas y dulces diversos, gelatinas, menú para banquetes|Cocina y reposteria práctica
Hernandez Fajardo C.||Cocina y respostería práctica|Mérida, Yucatán|Cia. Tip. Yucateca|1937|191|6x8.5 pulg||||Cocina||Sopas, carnes, frituras, recados, salsas, ensaladas, huevos, pescados, mariscos, aves, cacería, legumbres, tamales, sandwiches, entremeses, embutidos, refrescos, ponches, licores, cocktails, helados, jarabes, queso, mantequilla, panes, levadura, cakes, galletas, pasteles, dulces, almibar, pastas, gelatinas,  |
Herrero Hermanos Sucesores||La cocinera poblana|México|Herrero Hermanos, Sucesores|1926|428|5x7.5 pulg||Decima||Cocina|Imprenta de los editores|Sopas, caldos, jugos, pures, cocido, puchero, potajes, salsas, carnes, carnero, ternera, puerco, asados, embuchados, liebre, aves, conejo, pescados, tortas, frituras, huevos, legumbres, pastelería, repostería, dulcería, conservas, botillería, cajetas, vinos, licores |Novísimo manual práctico de cocina española, francesa, inglesa y mexicana, higiene y economia doméstica
Isabel Turrent||Menús de antaño para hoy|México|Editorial Jilguero S.A. de C.V.|1997|74|5.5x8 pulg||Segunda||Cocina|Talleres de Abedul Editores, S.A. de C.V.|Entradas, sopas y cremas, arroces y pastas, pescados y mariscos, carnes y aves, verduras, legumbres y ensaladas, postres y pasteles.|Platillos cuya tradición se remonta a centurias y que forman parte de la cultura entrañable de México.
Isla María||Manual de cocina|Puebla|Tip. De la Misericordia Cristiana|1911|547|4.5x6 pulg||Segunda||Cocina||Consomes, sopas, pescados, aves, carnes, lomos, filetes, salzas, reposteria, dulces, postres|Recetas de la srita. María Isla quien las cedió a la casa de La Misericordia Cristiana
Iturriaga José N.||De tacos, tamales y tortas|México|Editorial Diana, S.A.|1987|134|5x8 pulg||Primera||Cocina|Talleres de litografica Orion, S.A. de C.V.|Maíz/Nixtamal/Masa/Tortillas, los tacos, los tamales y los atoles, las tortas|No es éste un libro de cocina, es el diccionario del alimento básico del mexicano.
Lobo Aragon Alma||Las mejores recetas de la cocina: Mexicana, Española y Francesa |México|Editora y distribuidora de libros|1955|157|6x7.5 pulg||||Cocina|Talleres de Morales, Hnos. Impresores, S.A.|Bebidas internacionales, entremeses y bocadillos, caldos, pucheros, sopas y cremas, cocina mexicana, sopas y caldos, pastas, huevos, paella, ensaladas y aderezos, antojitos y platillos varios, salsas mexicanas, pasteles de frutas|Las mejores recetas de la cocina: Mexicana, Española y Francesa 
Luz||El hogar y la cocina|Merida Yucatán||1933|414|5x7 pulg||||Cocina|Imp. Oriente|Sopas, pescados, aves, carnes, salsas para asados y bistec, diversos guisos, huevos, legumbres, ensaladas, postres, dulces en almibar, mermeladas, pastas, jarabes, panes de harina, sorbetes, bebidas, atoles, alimentos para niños y enfermos |Manual de cocina teorico y practico          En todas las secciones de que consta este manual recomiendo con especial cuidado, dados los conocimientos que he adquirido en el terreno de la práctica; que los recados y especies que se pongan a los guisos vayan en relación con la cantidad de carnes sean de res, de ave, o de puerco. 
Maizena Duryea||"Buenos Guisados con Aceite Vegetal ""Argo"" Miel ""Karo"" y Maizena Duryea"|México|Corn Products Refining Co.||40|6.5x4.5 pulg|Maizena Duryea|||Cocina||Sopas, salsas, pescados, pan, bizcochos, dulces, pasteles|Maizena duryea con ella se hacen los mejores platillos y los mas deliciosos postres y bizcochos, pasteleria, reposteria y cocina al alcance de todas las amas de casa.
Mars Maria Teresa||La cocina de la madre a la hija|México||1944|333|6.5x9 pulg||||Cocina|Imprenta barrie|Sopas, huevos, pescados y mariscos, carnes, aves, vegetales, postres, helados, antojos, salsas, reposteria|Menús para los 30 días del mes, de vigilia, mexicanos, para matrimonios y otras celebraciones, frios para días calidos, para gastronomos, diversos, salsas, entremeses diferentes y recetas de reposteria.
Matus de Sumohano Edith V.||Libro de cocina de la mujer tabasqueña|Villahermosa, Tab||1981|280|6.5x9 pulg||Cuarta||Cocina|Talleres Linotipográficos Virginia|Sopas, carnes, aves, varios, pescados, paella, ensaladas, postres, tabasco|Recetas regionales de cocina y postres tradicionales de tabasco 
Matus de Sumohano Edith V.||Libro de cocina de la mujer tabasqueña|Villahermosa, Tab||1993|387|5x7.5 pulg||Septima||Cocina||Sopas, carnes, aves, pescados y mariscos, varios, paella, ensaladas, postres, recetas regionales de cocina y postres de tabasco, pescados, mariscos, quelonios y reptiles, aves, varios, bebidas, postres, |Recetas regionales de cocina y postres tradicionales de tabasco.
Miguelez Aureliano||El abarrote|México|Cámara Nacional de la Industria Editorial |1969|176|6x7.5 pulg||||Cocina|Impresiones Modernas|Origen del autoservicio, mercados de mexico, utopía del supermercado, el arte en la gastronomía, el vino y la alimentación, la caña y el azúcar|Revista mensual independiente de alimentos y bebidas
