Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
||Recetario sunbeam|México|||48|6x9 pulg||||Cocina||Sopas, huevos, guisados, postres, antojitos mexicanos, pasteles, panqués, salsas, postres, panquecitos y galletas, cubiertas para pastel|Usted se convencerá que mientras más use su nueva batidora sunbeam y su sartén, más apreciará sus múltiples ventajas y llegarán a ser imprescindibles en sus labores culinarias, en combinaciones con este recetario dedicado exclusivamente a los gustos de la maravillosa cocina mexicana
||Recetario de cocina ||||60|5.5x8 pulg||||Cocina|Talleres Gráficos Beltran|Ensaladas, guacamole, sopas, caldos, arroz, cremas, filete de res, camarones, chuletas, brochetas, albondigas, pechugas, paella, pollo, pescado, puré, chayotes, champiñones, papas, verduras, flanes, gelatinas, budín, pay, pastel, capirotada, bebidas y coctelería|Ensaladas, cremas, sopas y caldos, platos fuertes, flanes, budines, gelatinas, cocteles.
||Recetario Rosa Blanca||||27|5.5x8 pulg||||Cocina||Las medidas en cucharas, botanas, sopas, sopas secas, huevos, salsas, pescados, carnes, aves, verduras, |En sus fiestas y reuniones familiares usted puede servir a sus invitados, deliciosos platillos que además de ser muy económicos; pueden prepararse en unos cuantos minutos. 
||Cocina con arroz||Colecciones Pranc ||34|5x8 pulg||||Cocina||Moros con cristianos, arroz con menudencias, arroz verde, sopa mixteca, arroz a la parmesana, arroz cantones, arroz con pavo, arroz con elotes y rajas, arroz alemán, arroz negro, arroz con pollo y crema, arroz silvestre, ensalada de arroz, arroz con leche, postre de arroz con limón, crema de arroz con kiwi|Cocina con arroz
||Las mejores recetas de la cocina mexicana||||83|5x7.5 pulg||||Cocina||Botanas, sopas, ensaladas y verduras, carnes, pescados y mariscos, budines, huevos, antojitos, postres, adobo, ate de guayaba, ate de membrillo, cajeta, chile ancho molido, chocolate, chongos, mole, nopalitos, pipian, salsa|Doña María le ofrece en este recetario los platillos típicos de la cocina mexicana, aquéllos que hacían las delicias de nuestros ancestros, llenos de añoranzas y auténticamente tradicionales
||"Recetas e instrucciones de la pavera ""lamex"" y cocina todo ""lamex"""|||||5x8 pulg||||Cocina|Offset Beltrán|Pierna en vino, lomo, birria, mixiote, rollo de carne, ternera, jamon, pescado, pollo, pato, pichones, gallinas, tamales, uchepos, empanadas, bisquets, panque, brownies, flan, jericallas, conservas, pure|
||Postres Royal 33 recetas nuevas y sabrosas||||15|5x8 pulg||||Cocina||Azucarado rápido, batido de chocolate, coctel de frutas, copita de piña y limón, crema de cereza, deleite de caramelo, delicia tropical, ensalada de aguacate, fantasía caribe, flanes, helados, nieve, postre, pudín, salsa, sorpresa para niños|Descubra las muchas tentadoras maneras de hacer sabrosos postres royal cuando usted tiene a mano pudin royal, gelatina royal y flan royal, está lista para preparar, sin previo aviso, los más exquisitos postres para la familia, para los dias de fiesta, para la hora del té o de la merienda.
||El tesoro del hogar|México|Publicaciones populares||32|5.5x7.5 pulg||||Cocina||Sopas, comidas varias, frituras, ensaladas y rellenos, tamales, pozole, buñuelos, gelatina, dulce, panecitos, pastel|Este interesante libro de cocina que ponemos en sus manos, titulado cultura culinaria es con el fin de contribuir hasta donde nos sea posible, ayudarle en las arduas tareas de preparar los condimentos diarios para su familia.
||Recetas culinarias royal|New York|||42|5.5x7 pulg||||Cocina||Azucarado, barquillos, bizcochitos, bollos, churros, empanadas, frituras, galletas, glacé, molletes, pan, pasta, pasteles, pastelitos, pudín, postre, rollo, salsa, torta|La nueva edición de nuestro libro de cocina recetas culinarias royal se ha dado a la publicidad con el objeto de hacer frente a la enorme y siempre creciente demanda por un libro de cocina que permita al ama de casa preparar toda clase de pastelería y otras delicias culinarias, en su propia casa.
||Sugestiones del fuerte ||Empacadora de conservas de los Mochis, S.A.|||5.5x7 pulg||||Cocina||Cocktail de tomate, gelatina de tomate, bouillon de tomate, sopa crema de tomate, pisto, lengua entomatada, huachinango a la veracruzana, pastelillos de carne, relleno de los pastelillos, estofado estilo antiguo, tapado de pollo, bacalao a la vizcaina, salchichas en tomate, canarones, ensalada de ejotes, budin de garbanzo, peras con merengue, pastel de piña, fresas|Este folleto contiene buen número de ideas para la preparación de platillos suculentos y exquisitos, muy fáciles de hacer, con nuestros productos del fuerte.
||Antojitos mexicanos||Aceite Casa, S.A.|||6x5.5 pulg||||Cocina||Enchiladas de mole, quesadillas de flor de calabaza, pambacitos compuestos, tacos de pollo y guacamole, budin de elote, sopes, nopalitos, empanadas de san juan, |Aceite casa le presenta unas cuantas recetas de algunos de los más conocidos sabrosos antojitos mexicanos.
||Recetario crepera harwi|México|Industrias Harwi||12|7.5x5 pulg||||Cocina||Pasta básica, pasta básica para postre, crepas de trigo, crepas de harina de maíz, crepas de masa de hot cakes, salsas, salsa morena, blanca, holandesa, de relleno o aderezo, crepas con miel, rellenas de manzana, crepas con huevo revuelto, crepas tipo oslo, entremeses, postres|La crepera Harwi, es el medio más eficiente y sencillo para hacer crepas.
||Recetas internacionales con polvo para hornear royal||||33|5x7.5 pulg||||Cocina||Galletas alemanas, torta de banana, empanadas criollas, empanada gallega, donas, saladitos de praga, vol-au-vent de langostinos, torta escocesa, pizza, masitas de cocoa|Tengo el placer de ofrecerle una selección de recetas internacionales.                        A recetas típicas de repostería, he agregado algunas de platos caracteristicos.
||Polleria don gumaro|||||5x8 pulg||||Cocina||Piky pollo a la mexicana, mini pollitos rellenos de atún ó camarones, mini pollitos rellenos a la francesa, mini pollo relleno de cuitlacoche, mini pollitos rellenos papa c/chorizo, piky a las brasas en pollocoa, pato mestizo, pollo pibil, pollo en salsa de chipotle, pollo en salsa de nuez, pollo a la vinagreta, mousse de pollo, pollo en salsa de jitomate, pollo en vino blanco, pollo al limón, canapés de pollo|
||2a Feria Nacional del Nopal||||27|5x8 pulg||||Cocina||Ensaladas, sopas y cremas, guisados, antojitos, postres|"A la entrada de la población de Milpa Alta, por la carretera que parte de Xochimilco y llega a Oaxtepec, Morelos, un enorme anuncio como carta de presentación reverente, indica ""Bienvenido a la provincia hermosa del Distrito Federal""."
||Recetario Glasbake||Glasbake|||5.5x8 pulg||||Cocina||Huevos con crema, tamal de elote relleno, macarron napolitana, pastel de chocolate, panque de harina de maiz, flan de almendra, atole de harina de arroz, filete al horno, pescado al horno, carnero relleno, pastel del coco, caldo de verduras, jaibas rellenas, spaguetty al gratin, pollo con jugo de naranja, riñones a la brocheta |"A la entrada de la población de Milpa Alta, por la carretera que parte de Xochimilco y llega a Oaxtepec, Morelos, un enorme anuncio como carta de presentación reverente, indica ""Bienvenido a la provincia hermosa del Distrito Federal""."
||Recetario Tomazina ||Clemente Jacques|||5.5x8 pulg||||Cocina||Tallarines boloñesa, pollo en champiñones, huevos rancheros, chiles rellenos|Con tomazina olvidese de moler, cortar, picar o condimentar. Tomazina sazona deliciosamente pescados, pastas, carnes, huevos, sopas y otros platillos.
||Recetas de cocina Monarca||||96|4.5x6.5 pulg||||Cocina||Sopas, huevos, pescados, pollos-aves, carnes, ensaladas y verduras, postres|El aceite monarca tiene verdadera satisfacción en obsequiar a ud. Este ejemplar de recetario monarca que esta compuesto de cerca de ciento cincuenta recetas, para escoger el menu diario de su hogar.
||Aceite conquistador Recetario No. 4|México|Fabrica de aceites y grasas comestibles Clavel, S.A.||128|4.5x6.5 pulg||||Cocina||Sopas, pescados, huevos, carnes, aves, ensaladas y salsas, platillos diversos, postres, repostería y dulces|Este recetario No. 4, que como los anteriores trae las mejores recetas de guisados, ensaladas, sopas, mayonesas, etc. Y que quedan insuperablemente sabrosas cuando se tiene el cuidado de usar en su preparación solamente aceite conquistador, el mejor aceite mexicano para la cocina y el comedor.
||Aceite conquistador Recetario No. 8|México|Fabrica de aceites y grasas comestibles Clavel, S.A.||122|4.5x6.5 pulg||||Cocina||Sopas, pescados, legumbres, pollos, carnes, salsas, postres, dulces y pastas, bebidas|Este recetario No. 4, que como los anteriores trae las mejores recetas de guisados, ensaladas, sopas, mayonesas, etc. y que quedan insuperablemente sabrosas cuando se tiene el cuidado de usar en su preparación solamente aceite conquistador, el mejor aceite mexicano para la cocina y el comedor.
||Conquistador Aceite especial para ensaladas y mayonesas Recetario No. 5|México|Fabrica de aceites y grasas comestibles Clavel, S.A.||128|4.5x6.5 pulg||||Cocina||Entremeses, sopas, huevos, legumbres, aves, carnes, pescados,  salsas, ensaladas, postres, bebidas|Este recetario No. 5, que como los anteriores trae las mejores recetas de guisados, ensaladas, sopas, mayonesas, etc. y que quedan insuperablemente sabrosas cuando se tiene el cuidado de usar en su preparación solamente aceite conquistador, el mejor aceite mexicano para la cocina y el comedor.
||Recetario Práctico de cocina 120 recetas 30 menus exquisitos para todo el mes usando aceite conquistador|México|Fabrica de aceites y grasas comestibles Clavel, S.A.||95|4.5x6.5 pulg||||Cocina||Sopas, huevos, pescados, pollos, carnes, verduras y salsas, postres|La fabrica de aceites y grasas comestibles Clavel, S.A. fabricante del insuperable aceite comestible conquistador tiene verdadero placer en ofrecer a ud. este novísimo recetario de diversidad de platillos hechos a base de su producto verdadero orgullo de la industria nacional.
||Recetas Maizena|México|Productos de Maiz, S.A. ||73|4.5x6.5 pulg|Productos de Maíz, S.A.|||Cocina||Sopas, sopas secas y budines, huevos, pescados, carnes, aves, legumbres, platillos nacionales, dulces, reposteria, sección dextrosol, sección kre-mel, sección karo  |Maizena con ella se hacen los mejores platillos y los mas deliciosos postres y bizcochos, pasteleria, reposteria y cocina al alcance de todas las amas de casa
||Recetario Rosa Blanca|México||||4x6 pulg||||Cocina||Sopas aguadas, sopas secas, pescados, guisados, frijoles|Estas recetas han sido planeadas para ayudarla en esa tarea y en la de cocinar con sencillez y economía aparte de proporcionarle la ocasión de lucirse a darle a sus platillos ese delicioso sabor que solo se obtiene usando los magníficos productos rosa blanca.
||Festín de postres con deliciosos pudines royal|||||6x3.5 pulg||||Cocina||Pudin de chocolate y coco, pudin de chocolate y arroz, coupe allegretti, copitas de caramelo y coco, pudin caraqueño, sorpresas de guanabana, islas flotantes, postre caribe, dulce de coco, pudin café, piña royal, esponja de malvaviscos|Postres royal exquisitos, delicados el deleite de toda la familia, economicos faciles de preparar, no tiene mas que seguir las sencillas instrucciones.
||Recetario sunbeam|México||||4x6 pulg||||Cocina||Carlota de fresa, pay de limon, pure de papas, tortas de camaron, pastel al chantilly, donas|Y se hizo la vida mas amable con Sunbeam batidora BM-12
||Recetario super budinera express|||||4.5x6.5 pulg||||Cocina||Paella Valenciana, arroz a la cubana, arroz con mariscos, arroz con camarones, sopa americana, sopa de jaiba, gallina a la mexicana, pato al orange, pichones con chicharos, almejas con arroz, bacalao, mole de olla, pancita en pozole, cocada|Usando la super budinera express, disfrutamos de un ciento por ciento de las riquezas que contienen los alimentos cocidos en ella y en forma práctica, económica y efectiva encontrándose el mejor y más saludable medio de alimentación.
||Recetario del vapimar|México|Amigos del Hogar S.A.||19|4.5x6.5 pulg||||Cocina||Birria de pescado, aluvias con carne, pollo con mantequilla al vapor, tamales, atoles para tamales, verduras cocidas, pierna de cerdo adobada, pozolollo, frutas cocidas al vapor, albondigas estilo sinaloa, carnero, cochinita pibil, caldo de camarones, jaiba en chipotle|Usando el VAPI-MAR disfrutamos de un ciento por ciento de las riquezas que contienen los alimentos cocidos en ella y en forma práctica, económica y efectiva encontrándose el mejor y más saludable medio de alimentación.
||Fri-Asa-Dora Recetario|México|Amigos del Hogar S.A.|||4.5x6.5 pulg||||Cocina||Chuletas de cerdo con aguacate, tamales norteños, pastel de elote, pastel de naranja, hot cakes, pay de limon, torta de piña, chiles rellenos, pastel de cocoa, pescado a la tahitiana, carnero adobado, tamales maria, lomo mechado, bisteces entomatados, pollo en vino blanco, pastel de carne|Usando la FRI-ASA-DORA disfrutamos de un ciento por ciento de las riquezas que contienen los alimentos cocidos en ella y en forma práctica, económica y efectiva encontrándose el mejor y más saludable medio de alimentación.
||Fri-Asa-Dora Recetario|México|Amigos del Hogar S.A.|||4.5x6.5 pulg||||Cocina||Salsa de betabeles, tamales norteños, pastel del elote, chiles rellenos, pastel de cocoa, pescado a la tahitiana, hot cakes, pay de limón, carnero adobado, chuletas de cerdo con aguacate, pastel de carne, lomo mechado, pastel de naranja, tamales maria, bisteces entomatados, torta de piña, pollo en vino blanco|Usando la FRI-ASA-DORA disfrutamos de un ciento por ciento de las riquezas que contienen los alimentos cocidos en ella y en forma práctica, económica y efectiva encontrándose el mejor y más saludable medio de alimentación.
||Recetario Olla térmica Termo Vap dos usos super vaporera Recetas que engordan al bebé y adelgazan a la mamá|México|||19|4x5 pulg||||Cocina||Pastel cocido al vapor, pure de espinacas, pure de papa, pure de manzana, pure de chicharos, pure de zanahorias, pescado al vino blanco, mojarras en guacamole, col al vapor, zanahorias con nata, pancita en chipotle, carne de res a la mexicana, picadillo al vapor con calabacitas, omelet a la inglesa, huevos revueltos al vapor a la mexicana, barbacoa y carnitas con poca grasa, tamales, pollo en cuñete, crema pastelera, dulce de malvavisco|A través de las recetas de cocina contenidas en el mismo, esperamos demostrar la grandisima ventaja que tiene para usted el adquirir y usar varias ollas Termo-vap.
||Recetario Olla térmica Termo Vap dos usos super vaporera Recetas que engordan al bebé y adelgazan a la mamá|México|||19|4x5 pulg||||Cocina||Pastel cocido al vapor, pure de espinacas, pure de papa, pure de manzana, pure de chicharos, pure de zanahorias, pescado al vino blanco, mojarras en guacamole, col al vapor, zanahorias con nata, pancita en chipotle, carne de res a la mexicana, picadillo al vapor con calabacitas, omelet a la inglesa, huevos revueltos al vapor a la mexicana, barbacoa y carnitas con poca grasa, tamales, pollo en cuñete, crema pastelera, dulce de malvavisco|A través de las recetas de cocina contenidas en el mismo, esperamos demostrar la grandisima ventaja que tiene para usted el adquirir y usar varias ollas Termo-vap.
||Nuevo cocinero mexicano en forma de diccionario|México|Librería de la Vda de CH. Bouret|1909|966|6x9.5 pulg||||Cocina|Vda. De Ch. Bouret|Diccionario, sopa, ternera, carnero, cordero, puerco, jabalí, cabra, guaxolote, ansar, pescados, buey, vaca, liebre, conejo, faisan, perdiz, codornis, ganso, gallina, masas, repostería, frutas, legumbres, huevos, asado, postre, trinchar|Contiene todos los procedimientos empleados en la alta, mediana y pequeña cocina, la lista normal de los platillos que deben componer las distintas comidas, que con variedad de nombres se hacen en el día el método de aderezar los platos y de disponer los diferentes servicios de una mesa, y lo más selecto de las artes del pastelero, del bizcochero, del confitero, del destilador y del never, con todo lo relativo a la repostería.
||La exquisita comida yucateca del Restaurante Los almendros|||||27.5x21 cm||||Cocina||Sopa, arroz, poc-chuc, pierna, lomitos, cochinita, pollo, muc-bil, longaniza, papadzul, pavo, tzic, venado, onsiquil, sac-kol, panuchos|
