Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Van den Berghe|Pierre L.|||Problemas raciales|||Primera||Trad. Por Juan José Utrilla|México|Fondo de Cultura Económica||217|1971|257||
Comas |Juan|||Razas y racismo|||Primera|||México, D.F|SEP|SepSetentas|43|1972|220||
Bastide |Roger|||Las Américas Negras|||Primera||Trad. Por Patricio Azcárate|Madrid|Alianza Editorial |||1969|177|Tabla|
Just Butcher|Margaret|||The negro in american culture|||Primera|||New York, NY.|The New American Library|||1957|240||
Hanke|Lewis|||El prejuicio racial en el Nuevo Mundo|||Primera|||México, D.F|SEP|SepSetentas|156|1974|207|Fotos|
Mellafe|Rolando|||Breve historia de la esclavitud en América Latina|||Primera|||México, D.F|SEP|SepSetentas|115|1973|191||
Spuler|Bertold|||Los Mongoles|||Primera||Trad. Por Luis Hrnández Alfonso|Madrid|Ediciones Castilla|||1965|149||
Sekelj|Tibor|||Por tierra de indios|||Primera|||México, D.F|Editorial Continental||||235|Fotos|
Pérez López|Enrike|||Los Pableros. Dueños de cargo, dueños de la tierra|||Primera|||[Tuxyla Gutiérrez, Chiapas]|Secretaría para la Atención de los Pueblos Indígenas|||1995|350|Fotos e ilustraciones|
Von Furer-Haimendorf|Christoph|||The Sherpas of Nepal|||Primera|||London|[John Murray]|||1964|298|Fotos|
Haley|Alex|||Races|||Primera||Trad. Por Rolando Costa Picazo |Madrid|Ultramar Editores|||1976|520||
Lester |Julius|||Yo… !Esclavo!|||Primera||Trad. Por Justo Arroyo|México, D.F|Editorial Novaro|||1971|158||
Montalvo Ortega|Enrique|||El águila bifronte. Poder y liberalismo en México|||Primera|1999||México, D.F|INAH|||1995|277|Cuadros|
Dean|John|||The making of a black mayor|||Primera|||Washington, D.C|Joint Center for Political Studies|||1973|129|Fotos, cuadros y mapas|
Varela |Roberto|||Expansión de sistemas y relaciones de poder|||Primera|||México, D.F|UAM|||1984|288|Cuadros|
||||Los Seris|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Pápagos|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|2
||||Mixes|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Mayas de Quintana Roo|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Mayas de Yucatán y Campeche|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Huastecos|||Primera|||México, D.F|INI|||1982|[5]|Mapa y fotos|
||||Los Tepehuanes de Durango y Nayarit|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|2
||||Los Amuzgos|||Primera|||México, D.F|INI|||1982|[5]|Mapa y fotos|
||||Los Mazatecos|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Grupos Indígenas de Baja California|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Yaquis|||Primera|||México, D.F|INI|||1981|[5]|Mapa y fotos|
||||Los Mayos|||Primera|||México, D.F|INI|||1982|[5]|Mapa y fotos|
||||Indians of the plains|||Primera|||New York, NY.|American Heritage Publishing|||1960|152|Fotos|
||||I have a dream. The story of Martin Luther King in text and pictures|||Primera|||New York, NY.|Time Life Books|||1968|96|Fotos|
||||Africa en América|||Primera|||México|UNAM|||1982|212|Ilustraciones, cuadros y fotos|
Bahmanbegui|Mohammad|Donald P. Cole et al||Los pueblos nómadas |||Primera||Trad. Por Esteban Riambau|Barcelona, España|Ediciones Nauta|||1978|199|Fotos|
Cameron|Nigel|||Barbarians & Mandarins |||Primera|||New York, NY.|John Weatherhill|||1970|443|Ilustraciones y Fotos|
Nolasco|Margarita|||Seris, Yaquis, Tarahumaras|||Primera|||México, D.F|SEP-INAH|Colección Breve|6|1968|32|Fotos|
Gamas Torruco|José|||El federalismo mexicano|||Primera|||México, D.F|SEP|SepSetentas||1975|205|Cuadros|
Hart|John M.|||Los anarquistas mexicanos, 18601900|||Primera||Trad. Por María Elena Hope|México, D.F|SEP|SepSetentas||1974|182||
Alonso|Jorge|||La tendencia al enmascaramiento de los movimientos políticos |||Primera|||México, D.F|CIESAS|Colección Miguel Othón de Mendizábal||1985|383||
Arias |Patricia|Lucia Bazán||Demandas y conflicto. El poder político en un pueblo de Morelos|||Primera|||México, D.F|Editorial Nueva Imagen|||1979|180|Cuadros|
Berlinguer|Enrico|||La alternativa comunista|||Primera|||Barcelona, España|Editorial Bruguera|||1978|283||
Baudouin|Jean|||Karl Popper|||Segunda|||México, D.F|CONACULTA|||1994|146||
Easton|David|||Esquema para el análisis político|||Primera||Trad. Por Aníbsl C. Leal.|Buenos Aires, Argentina.|Amorrortu Editores|||1969|186||
Sayeg Helú|Jorge|||El nacimiento de la república federal mexicana|||Primera|||México, D.F|SEP|SepSetentas|159|1974|167||
||||Legado revolucionario de Lázaro Cárdenas|||Primera|||México, D.F|Costa-Amic Editor|||1971|126|Fotos|
Krotz|Esteban|Coordinador||El estudio de la cultura política en México|||Primera|||México, D.F|CIESAS|||1996|446||
||||Lázaro Cárdenas. Ideario Político|||Primera|||México, D.F|Ediciones Era|||1972|378||
Moreno Sánchez|Manuel|||Crisis política de México|||Primera|||México, D.F|Editorial Extemporáneos|||1970|190||
